run,config,fault,planning_latency_s,search_duration_s,navigate_duration_s,total_duration_s,victim_found,mission_success,grounding_ok,assignment_ok,false_dispatch,localization_error,delivery_error,llm_call_count
1,ours,none,2.75,23.6,72.78,115.21,True,True,1,1,0,0.0,0.49624067668750027,0
2,ours,none,1.2,0.05,0.01,10.72,True,True,1,1,0,0.0,0.4844383997899813,0
3,ours,none,1.17,0.05,0.0,10.57,True,True,1,1,0,0.0,0.4805370787228305,0
4,ours,none,1.04,0.05,0.0,12.52,True,True,1,1,0,0.0,0.4760650966854271,0
5,ours,none,0.84,0.05,0.01,10.16,True,True,1,1,0,0.0,0.4718946985025941,0
6,ours,none,0.89,0.05,0.01,10.19,True,True,1,1,0,0.0,0.46773362565564974,0
7,ours,none,0.91,0.05,0.01,10.06,True,True,1,1,0,0.0,0.46355705665701424,0
8,ours,none,1.22,0.05,0.01,10.81,True,True,1,1,0,0.0,0.4590693893450244,0
9,ours,none,1.24,0.05,0.01,12.57,True,True,1,1,0,0.0,0.45366286464899963,0
10,ours,none,1.07,0.05,0.01,11.57,True,True,1,1,0,0.0,0.44830797886287493,0
11,ours,none,1.03,0.05,0.0,10.52,True,True,1,1,0,0.0,0.4434094950503561,0
12,ours,none,1.07,0.05,0.01,11.06,True,True,1,1,0,0.0,0.4379723043139754,0
13,ours,none,0.96,0.06,0.01,11.69,True,True,1,1,0,0.0,0.43230433038353683,0
14,ours,none,0.9,0.05,0.01,10.17,True,True,1,1,0,0.0,0.4272134259297647,0
15,ours,none,0.87,0.05,0.01,10.45,True,True,1,1,0,0.0,0.42198627665023275,0
16,ours,none,0.83,0.05,0.0,10.45,True,True,1,1,0,0.0,0.4168858505064067,0
17,ours,none,0.94,0.05,0.0,10.22,True,True,1,1,0,0.0,0.4118840840928023,0
18,ours,none,1.39,0.05,0.0,11.93,True,True,1,1,0,0.0,0.40684549304167034,0
19,ours,none,0.95,0.05,0.01,15.6,True,True,1,1,0,0.0,0.4008603550647973,0
20,ours,none,1.26,0.05,0.0,10.7,True,True,1,1,0,0.0,0.3959723769482243,0
21,ours,none,1.01,0.05,0.01,10.87,True,True,1,1,0,0.0,0.39222269463076154,0
22,ours,none,0.85,0.05,0.01,10.39,True,True,1,1,0,0.0,0.3885847407132796,0
23,ours,none,1.03,0.05,0.0,9.93,True,True,1,1,0,0.0,0.385406603009607,0
24,ours,none,1.17,0.05,0.01,10.29,True,True,1,1,0,0.0,0.3826571971701679,0
25,ours,none,0.92,0.05,0.01,9.84,True,True,1,1,0,0.0,0.3802051346689108,0
26,ours,none,1.21,0.05,0.01,10.67,True,True,1,1,0,0.0,0.37782649388869494,0
27,ours,none,1.12,0.05,0.01,10.17,True,True,1,1,0,0.0,0.3754704974546333,0
28,ours,none,0.92,0.05,0.01,10.33,True,True,1,1,0,0.0,0.3732855447757508,0
29,ours,none,1.38,0.05,0.01,10.39,True,True,1,1,0,0.0,0.37124302683947163,0
30,ours,none,0.92,0.05,0.01,9.8,True,True,1,1,0,0.0,0.3693199601991602,0
31,ours,none,0.92,0.05,0.01,10.73,True,True,1,1,0,0.0,0.36720275595750973,0
32,ours,none,1.33,0.05,0.01,10.91,True,True,1,1,0,0.0,0.3651356826094771,0
33,ours,none,1.03,0.05,0.01,10.69,True,True,1,1,0,0.0,0.36294794569012967,0
34,ours,none,0.85,0.05,0.01,10.43,True,True,1,1,0,0.0,0.3609153418674732,0
35,ours,none,0.89,0.05,0.01,9.76,True,True,1,1,0,0.0,0.35904345225002404,0
36,ours,none,0.96,0.05,0.01,10.21,True,True,1,1,0,0.0,0.35724539760202356,0
37,ours,none,1.32,0.05,0.01,10.99,True,True,1,1,0,0.0,0.3555672341824736,0
38,ours,none,0.93,0.05,0.01,9.93,True,True,1,1,0,0.0,0.3540189584754634,0
39,ours,none,1.38,0.05,0.01,10.63,True,True,1,1,0,0.0,0.3527473526445878,0
40,ours,none,1.09,0.05,0.0,10.1,True,True,1,1,0,0.0,0.3515946442828529,0
1,skill_list,none,2.44,23.56,,40.18,True,True,1,1,0,0.0,9.878957059441783,2
2,skill_list,none,1.01,0.05,,8.54,True,True,1,1,0,0.0,9.874411993778272,2
3,skill_list,none,0.95,0.05,,8.61,True,True,1,1,0,0.0,9.869767744392837,2
4,skill_list,none,1.35,0.05,,8.82,True,True,1,1,0,0.0,9.865151684673277,2
