run,config,scenario,fault,planning_latency_s,search_duration_s,navigate_duration_s,total_duration_s,victim_found,mission_success,grounding_ok,assignment_ok,plan_executability,false_dispatch,localization_error,delivery_error,llm_call_count,tool_ref_count,tool_hallucination_count,tool_hallucination_rate
1,full,a,blocked_corridor,1.82,25.92,223.09,343.03,True,True,1,1,1,0,0.0,0.6816334767353305,1,0,0,nan
2,full,a,blocked_corridor,2.16,23.58,71.84,108.89,True,True,1,1,1,0,0.0,0.44617020338775626,1,0,0,nan
3,full,a,nan_transmission,1.38,23.37,72.54,106.23,True,True,0,1,0,1,nan,0.4902991658627489,2,0,0,nan
4,full,a,blocked_corridor,1.19,25.65,71.66,108.01,True,True,1,1,1,0,0.0,0.4812931583625522,1,0,0,nan
5,full,a,nan_transmission,1.31,23.56,72.56,105.86,True,True,0,1,0,1,nan,0.4966164651325299,2,0,0,nan
6,full,a,blocked_corridor,1.27,24.81,10.9,143.97,True,True,1,1,1,0,0.0,0.8330273441293313,1,0,0,nan
7,full,a,nan_transmission,1.61,23.5,72.33,110.07,True,True,0,1,0,1,nan,0.49855776609166924,2,0,0,nan
8,full,a,blocked_corridor,1.28,23.82,71.74,106.87,True,True,1,1,1,0,0.0,0.4653254803827165,1,0,0,nan
9,full,a,nan_transmission,1.13,24.75,71.78,107.98,True,True,0,1,0,1,nan,0.4924997233117323,2,0,0,nan
10,full,a,nan_transmission,1.37,23.74,72.21,106.75,True,True,0,1,0,1,nan,0.48839576074298896,2,0,0,nan
11,full,a,corrupted_coords,1.45,24.04,76.28,117.92,True,True,1,0,0,0,4.08435986718374,3.731850995484997,2,0,0,nan
12,full,a,corrupted_coords,1.18,23.92,106.55,140.06,True,True,1,0,0,0,4.027961334890792,3.545169328015522,2,0,0,nan
13,full,a,corrupted_coords,1.3,23.3,70.42,105.09,True,True,1,0,0,0,8.363835409575513,8.20697527838968,2,0,0,nan
14,full,a,corrupted_coords,2.66,23.98,97.02,137.08,True,True,1,0,0,0,3.7221227797528442,3.2388146339760455,2,0,0,nan
15,full,a,corrupted_coords,1.31,23.43,72.21,107.59,True,True,1,1,1,0,8.079070953974494,0.499631241758977,2,0,0,nan
16,full,a,missed_detection,1.53,24.95,,,True,False,0,0,0,0,nan,9.876865127566843,2,0,0,nan
17,full,a,missed_detection,1.03,23.33,,,True,False,0,0,0,0,nan,9.862521908840014,2,0,0,nan
18,full,a,missed_detection,0.91,23.57,,,True,False,0,0,0,0,nan,9.849663151551429,1,0,0,nan
19,full,a,missed_detection,1.02,23.64,,,True,False,0,0,0,0,nan,9.840348876963505,1,0,0,nan
20,full,a,missed_detection,1.05,23.34,,,True,False,0,0,0,0,nan,9.837928446345321,2,0,0,nan
