run,config,fault,planning_latency_s,search_duration_s,navigate_duration_s,total_duration_s,victim_found,mission_success,grounding_ok,assignment_ok,false_dispatch,localization_error,delivery_error,llm_call_count
1,full,none,1.82,23.32,74.77,118.43,True,True,1,1,0,0.0,0.49764940055905327,2
2,full,none,1.26,,,,False,False,0,0,0,nan,0.4843463688569834,2
3,full,none,1.25,,,,False,False,0,0,0,nan,0.5471531873398259,2
4,full,none,1.38,,,,False,False,0,0,0,nan,0.5992206996591106,2
5,full,none,1.17,,,,False,False,0,0,0,nan,0.623675719859694,2
6,full,none,1.46,,,,False,False,0,0,0,nan,0.6453175258348709,2
7,full,none,1.76,,,,False,False,0,0,0,nan,0.6826511901527008,2
8,full,none,1.97,,,,False,False,0,0,0,nan,0.7555367186989919,2
9,full,none,1.31,,,,False,False,0,0,0,nan,0.7669081773074511,2
10,full,none,1.22,,,,False,False,0,0,0,nan,0.7758268998517862,2
1,full,none,2.63,23.57,74.45,117.27,True,True,1,1,0,0.0,0.4988387803307929,2
2,full,none,1.54,23.56,72.0,105.67,True,True,1,1,0,0.0,0.49439578061355544,2
3,full,none,1.35,23.06,71.23,107.37,True,True,1,1,0,0.0,0.4995684160339719,2
4,full,none,1.35,23.81,71.27,107.69,True,True,1,1,0,0.0,0.4966484575886013,2
5,full,none,1.86,23.58,71.87,106.62,True,True,1,1,0,0.0,0.4939287359952653,2
6,full,none,2.53,23.58,71.34,108.25,True,True,1,1,0,0.0,0.49855636185690766,2
7,full,none,3.21,23.57,71.66,112.14,True,True,1,1,0,0.0,0.48940362978126567,2
8,full,none,1.49,23.08,72.19,106.27,True,True,1,1,0,0.0,0.4981553004385646,2
9,full,none,1.86,23.32,72.84,107.99,True,True,1,1,0,0.0,0.49681646240717187,2
10,full,none,1.85,23.06,73.09,108.6,True,True,1,1,0,0.0,0.4976015742898434,2
1,full,none,2.58,23.58,72.08,114.73,True,True,1,1,0,0.0,0.489362589791763,2
2,full,none,1.62,23.82,71.89,107.16,True,True,1,1,0,0.0,0.4905101474577301,2
3,full,none,2.84,23.08,73.48,111.78,True,True,1,1,0,0.0,0.48894225518522594,2
4,full,none,1.95,23.59,72.14,107.07,True,True,1,1,0,0.0,0.4983646825871632,2
5,full,none,1.36,23.06,72.01,106.17,True,True,1,1,0,0.0,0.4965342334903133,2
6,full,none,1.6,23.58,72.19,106.58,True,True,1,1,0,0.0,0.49624180463184947,2
7,full,none,1.46,23.57,72.31,113.73,True,True,1,1,0,0.0,0.49950171945964905,2
8,full,none,5.09,23.82,72.09,111.5,True,True,1,1,0,0.0,0.4978649473954811,2
9,full,none,1.72,23.57,71.33,107.21,True,True,1,1,0,0.0,0.4974284181078626,2
10,full,none,1.57,23.32,71.34,105.31,True,True,1,1,0,0.0,0.49778356202028873,2
