run,config,scenario,fault,planning_latency_s,search_duration_s,navigate_duration_s,total_duration_s,victim_found,mission_success,grounding_ok,assignment_ok,false_dispatch,localization_error,delivery_error,llm_call_count
1,full,a,none,2.57,23.59,76.18,117.68,True,True,1,1,0,0.0,0.49996508351586827,2
2,full,a,none,1.33,23.58,71.23,105.51,True,True,1,1,0,0.0,0.4878827426467755,2
3,full,a,none,1.23,23.1,73.12,106.33,True,True,1,1,0,0.0,0.4965648943062683,2
1,full,a,none,1.61,23.57,73.02,114.12,True,True,1,1,0,0.0,0.4977738788113627,2
2,full,a,none,1.56,23.08,71.65,105.28,True,True,1,1,0,0.0,0.4974436296528424,2
3,full,a,none,1.33,23.09,71.31,105.69,True,True,1,1,0,0.0,0.49894734906431076,2
4,full,a,none,1.44,23.84,71.4,106.64,True,True,1,1,0,0.0,0.4979615365289434,2
5,full,a,none,1.41,23.6,72.34,106.16,True,True,1,1,0,0.0,0.499985530305593,2
6,full,a,none,1.4,23.35,72.07,105.45,True,True,1,1,0,0.0,0.4935882189697292,2
7,full,a,none,1.4,15871.73,73.44,15962.48,True,True,1,1,0,0.0,0.4966420178469284,2
8,full,a,none,8.17,23.05,71.95,115.39,True,True,1,1,0,0.0,0.48780456894107155,2
9,full,a,none,3.82,23.33,72.61,109.88,True,True,1,1,0,0.0,0.49273184532117925,2
10,full,a,none,1.54,23.57,72.68,107.9,True,True,1,1,0,0.0,0.4947554435703173,2
