run,config,scenario,fault,planning_latency_s,search_duration_s,navigate_duration_s,total_duration_s,victim_found,mission_success,grounding_ok,assignment_ok,false_dispatch,localization_error,delivery_error,llm_call_count
1,full,b,none,1.85,18.85,56.23,93.18,True,True,1,1,0,0.0,0.4981499426877494,2
2,full,b,none,1.33,18.85,46.8,76.9,True,True,1,1,0,0.0,0.4971648790845883,2
3,full,b,none,1.48,18.84,47.06,77.93,True,True,1,1,0,0.0,0.48390409419438785,2
4,full,b,none,1.31,18.6,54.47,83.74,True,True,1,1,0,0.0,0.49834339423273327,2
5,full,b,none,1.45,18.54,54.92,83.99,True,True,1,1,0,0.0,0.4962790371800008,2
6,full,b,none,1.44,18.86,53.94,84.04,True,True,1,1,0,0.0,0.49443555073869133,2
7,full,b,none,1.47,18.85,46.29,75.82,True,True,1,1,0,0.0,0.49289702170874755,2
8,full,b,none,1.37,18.87,46.41,79.36,True,True,1,1,0,0.0,0.49793654766796086,2
9,full,b,none,1.9,18.59,53.52,83.23,True,True,1,1,0,0.0,0.49965721749691266,2
10,full,b,none,1.34,18.85,45.9,75.05,True,True,1,1,0,0.0,0.4973776309809646,2
1,full,b,none,1.97,18.87,55.08,93.51,True,True,1,1,0,0.0,0.49582121717094974,2
2,full,b,none,1.84,18.6,47.24,78.74,True,True,1,1,0,0.0,0.4991618760986219,2
3,full,b,none,1.95,18.85,47.52,78.57,True,True,1,1,0,0.0,0.49943821505902763,2
4,full,b,none,1.94,18.6,46.96,78.18,True,True,1,1,0,0.0,0.4988982032612522,2
5,full,b,none,1.69,19.11,46.69,77.65,True,True,1,1,0,0.0,0.4999755568179404,2
6,full,b,none,1.43,18.86,46.94,81.76,True,True,1,1,0,0.0,0.49597001712979777,2
7,full,b,none,2.84,18.85,47.21,78.64,True,True,1,1,0,0.0,0.4929806428112051,2
8,full,b,none,1.52,18.6,46.69,76.05,True,True,1,1,0,0.0,0.49734475926061744,2
9,full,b,none,1.49,18.6,46.0,75.97,True,True,1,1,0,0.0,0.4982543098166398,2
10,full,b,none,1.37,18.87,54.59,85.2,True,True,1,1,0,0.0,0.4946049912339096,2
