run,config,fault,planning_latency_s,search_duration_s,navigate_duration_s,total_duration_s,victim_found,mission_success,grounding_ok,assignment_ok,false_dispatch,localization_error,delivery_error,llm_call_count
1,no_gate,none,2.27,23.32,,39.89,True,True,1,1,0,0.0,9.878413886832433,2
2,no_gate,none,2.01,23.32,,34.38,True,True,1,1,0,0.0,9.863748339767382,2
3,no_gate,none,1.24,23.57,,33.41,True,True,1,1,0,0.0,9.851658978353946,2
4,no_gate,none,1.26,23.59,,35.3,True,True,1,1,0,0.0,9.843726481978608,2
5,no_gate,none,1.64,23.59,,33.46,True,True,1,1,0,0.0,9.839860788889501,2
6,no_gate,none,1.28,23.08,,31.15,True,True,1,1,0,0.0,9.838422513999296,2
7,no_gate,none,1.52,23.82,,32.41,True,True,1,1,0,0.0,9.837486446386869,2
8,no_gate,none,1.28,23.33,,32.15,True,True,1,1,0,0.0,9.836966569093937,2
1,no_gate,none,2.1,23.32,,39.59,True,True,1,1,0,0.0,9.878987104511236,2
2,no_gate,none,1.19,23.32,,31.67,True,True,1,1,0,0.0,9.86484454871052,2
3,no_gate,none,1.58,23.57,,32.37,True,True,1,1,0,0.0,9.852803686294244,2
4,no_gate,none,5.18,23.33,,35.72,True,True,1,1,0,0.0,9.844438548598925,2
5,no_gate,none,2.18,23.33,,32.88,True,True,1,1,0,0.0,9.840176533134686,2
6,no_gate,none,1.13,23.59,,32.41,True,True,1,1,0,0.0,9.838619264614183,2
7,no_gate,none,1.16,23.56,,33.08,True,True,1,1,0,0.0,9.837681040611026,2
8,no_gate,none,0.86,23.32,,31.09,True,True,1,1,0,0.0,9.837095220817266,2
9,no_gate,none,1.56,23.34,,35.27,True,True,1,1,0,0.0,9.837102890857704,2
10,no_gate,none,1.04,23.33,,30.9,True,True,1,1,0,0.0,9.839368982072402,2
