run,config,fault,planning_latency_s,search_duration_s,navigate_duration_s,total_duration_s,victim_found,mission_success,grounding_ok,assignment_ok,false_dispatch,localization_error,delivery_error,llm_call_count
1,text_only,none,,,,,False,False,0,0,0,nan,nan,0
2,text_only,none,,,,,False,False,0,0,0,nan,9.86450947436395,0
3,text_only,none,,,,,False,False,0,0,0,nan,9.8471497891606,0
4,text_only,none,,,,,False,False,0,0,0,nan,9.8396737886401,0
5,text_only,none,,,,,False,False,0,0,0,nan,9.83786030922787,0
6,text_only,none,,,,,False,False,0,0,0,nan,9.836973745085219,0
7,text_only,none,,,,,False,False,0,0,0,nan,9.84231110260146,0
8,text_only,none,,,,,False,False,0,0,0,nan,9.854332142923447,0
9,text_only,none,,,,,False,False,0,0,0,nan,9.880561915027947,0
10,text_only,none,,,,,False,False,0,0,0,nan,9.909891951164004,0
1,text_only,none,,,,,False,False,0,0,0,nan,nan,0
2,text_only,none,,,,,False,False,0,0,0,nan,9.869305945717683,0
3,text_only,none,,,,,False,False,0,0,0,nan,9.849678564513331,0
4,text_only,none,,,,,False,False,0,0,0,nan,9.840305778621266,0
5,text_only,none,,,,,False,False,0,0,0,nan,9.837798902545764,0
6,text_only,none,,,,,False,False,0,0,0,nan,9.83686999833847,0
7,text_only,none,,,,,False,False,0,0,0,nan,9.838361149767797,0
8,text_only,none,,,,,False,False,0,0,0,nan,9.846559443481368,0
9,text_only,none,,,,,False,False,0,0,0,nan,9.883886178815736,0
10,text_only,none,,,,,False,False,0,0,0,nan,9.912555504591264,0
